행정구역,2022년10월_남_총인구수,2022년10월_남_연령구간인구수,2022년10월_남_0~9세,2022년10월_남_10~19세,2022년10월_남_20~29세,2022년10월_남_30~39세,2022년10월_남_40~49세,2022년10월_남_50~59세,2022년10월_남_60~69세,2022년10월_남_70~79세,2022년10월_남_80~89세,2022년10월_남_90~99세,2022년10월_남_100세 이상,2022년10월_여_총인구수,2022년10월_여_연령구간인구수,2022년10월_여_0~9세,2022년10월_여_10~19세,2022년10월_여_20~29세,2022년10월_여_30~39세,2022년10월_여_40~49세,2022년10월_여_50~59세,2022년10월_여_60~69세,2022년10월_여_70~79세,2022년10월_여_80~89세,2022년10월_여_90~99세,2022년10월_여_100세 이상
경기도 파주시 파주읍(4148025300),7415 ,7415 ,298 ,434 ,902 ,835 ,1029 ,1514 ,1400 ,658 ,310 ,32 ,3 ,6521 ,6521 ,270 ,434 ,570 ,627 ,768 ,1162 ,1214 ,762 ,607 ,105 ,2 
경기도 파주시 법원읍(4148025600),5473 ,5473 ,155 ,312 ,766 ,530 ,576 ,1079 ,1193 ,562 ,269 ,31 ,0 ,4787 ,4787 ,136 ,285 ,475 ,365 ,436 ,886 ,1026 ,638 ,461 ,78 ,1 
경기도 파주시 조리읍(4148026200),14820 ,14820 ,747 ,1284 ,1851 ,1494 ,2166 ,2971 ,2565 ,1137 ,559 ,45 ,1 ,14351 ,14351 ,717 ,1312 ,1510 ,1268 ,2030 ,2755 ,2443 ,1314 ,860 ,138 ,4 
경기도 파주시 월롱면(4148031000),6469 ,6469 ,66 ,127 ,2137 ,1338 ,767 ,875 ,719 ,300 ,126 ,14 ,0 ,3107 ,3107 ,63 ,102 ,679 ,356 ,267 ,479 ,572 ,309 ,226 ,54 ,0 
경기도 파주시 탄현면(4148032000),7319 ,7319 ,288 ,488 ,852 ,878 ,1148 ,1543 ,1255 ,564 ,276 ,27 ,0 ,6024 ,6024 ,258 ,437 ,595 ,563 ,837 ,1109 ,1042 ,618 ,456 ,102 ,7 
경기도 파주시 광탄면(4148035000),5981 ,5981 ,201 ,311 ,675 ,587 ,709 ,1246 ,1334 ,623 ,264 ,29 ,2 ,4948 ,4948 ,193 ,265 ,404 ,385 ,482 ,941 ,1069 ,627 ,469 ,110 ,3 
경기도 파주시 파평면(4148036000),1996 ,1996 ,46 ,91 ,269 ,136 ,168 ,408 ,464 ,256 ,144 ,13 ,1 ,1774 ,1774 ,30 ,76 ,142 ,80 ,135 ,302 ,412 ,288 ,251 ,56 ,2 
경기도 파주시 적성면(4148037000),3963 ,3963 ,271 ,273 ,577 ,513 ,422 ,598 ,721 ,388 ,186 ,13 ,1 ,3319 ,3319 ,253 ,214 ,270 ,372 ,329 ,517 ,584 ,457 ,267 ,52 ,4 
경기도 파주시 장단면(4148039000),379 ,379 ,12 ,19 ,33 ,29 ,46 ,84 ,69 ,50 ,32 ,5 ,0 ,341 ,341 ,10 ,28 ,20 ,32 ,28 ,63 ,55 ,66 ,35 ,4 ,0 
경기도 파주시 금촌1동(4148051000),12008 ,12008 ,494 ,746 ,1931 ,1800 ,1716 ,2354 ,1809 ,774 ,343 ,38 ,3 ,10349 ,10349 ,438 ,689 ,1469 ,1170 ,1399 ,1830 ,1657 ,986 ,602 ,107 ,2 
